#Policy: dynamic
#Resolution: 512
1;2780;0.00359775
2;5539;0.00180555
4;10957;0.000912724
8;20531;0.000487076
10;25032;0.000399504
20;48887;0.000204555
40;74295;0.0001346
#Policy: static
1;2785;0.00359192
2;5523;0.00181069
4;10953;0.000913013
8;20548;0.00048668
10;25238;0.000396231
20;49530;0.0002019
40;82246;0.000121587
#Policy: static,1
1;2789;0.00358631
2;5087;0.00196583
4;10339;0.000967273
8;12245;0.000816675
10;12554;0.00079662
20;13473;0.000742259
40;16174;0.000618297
#Policy: dynamic,innerLen
#Resolution: 512
1;2781;0.00359643;10.0017
2;5546;0.00180316;10.0003
4;10974;0.000911324;10.0009
8;20527;0.000487184;10.0004
10;25223;0.000396464;10
20;48356;0.000206801;10.0001
40;77872;0.000128417;10.0001
