#Policy: dynamic
#Resolution: 2048
1;173;0.0579344
2;345;0.0290191
4;687;0.0145568
8;1288;0.00776727
10;1590;0.00628964
20;3167;0.00315855
40;5463;0.00183064
#Policy: static
1;174;0.0577771
2;346;0.0289723
4;688;0.0145363
8;1296;0.00772014
10;1594;0.0062771
20;3173;0.00315249
40;5434;0.00184045
#Policy: static,1
1;174;0.0577737
2;335;0.0299007
4;655;0.0152838
8;784;0.0127578
10;736;0.0136034
20;777;0.0128798
40;944;0.0105955
#Policy: dynamic,innerLen
#Resolution: 2048
1;174;0.0577852;10.0546
2;346;0.0289804;10.0272
4;689;0.0145302;10.0113
8;1301;0.00768948;10.004
10;1597;0.00626359;10.0029
20;3183;0.00314201;10.001
40;5531;0.00180819;10.0011
